menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T05:53:47.673929500Z
menu_URL : http://localhost:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:28:25.120789Z
menu_URL : http://localhost:8080/user, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:28:35.483098700Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:28:39.017702800Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:28:39.677742800Z
menu_URL : http://localhost:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:31:06.405794100Z
menu_URL : http://localhost:8080/user, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-07T06:35:52.458546400Z
menu_URL : http://192.168.1.34:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-11T04:35:29.768611300Z
menu_URL : http://192.168.1.34:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-11T04:35:29.898102200Z
menu_URL : http://192.168.1.34:8080/user, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-11T04:36:34.877803800Z
menu_URL : http://192.168.1.34:8080/test-exception, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-11T04:36:52.202157600Z
menu_URL : http://192.168.1.34:8080/error, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-11T04:36:52.230284100Z
menu_URL : http://localhost:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-12T03:17:22.506746300Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-12T03:17:22.611818800Z
menu_URL : http://localhost:8080/, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-12T03:20:29.904682400Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T01:47:41.123304700Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T01:47:57.769470400Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T01:48:21.704953100Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:05:20.571409400Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:09:07.481213700Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:10:26.566782400Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:23:21.794313800Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:24:21.862870300Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:27:19.404756400Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:28:01.515849300Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:57:12.058679500Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:58:11.782741400Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:58:33.461211500Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:58:44.561687200Z
menu_URL : http://localhost:8080/backup/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T02:58:53.662467900Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T03:45:00.740950200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T03:49:20.425055100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T03:49:40.002373800Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T03:50:12.557630300Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:08:20.483600400Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:14:17.944614900Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:18:14.309765200Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:27:20.157996600Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:28:29.908717Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T04:32:03.327815200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T06:33:06.738474600Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T06:43:04.597618800Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T06:45:32.603958700Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T06:55:35.990279200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T06:59:11.841047600Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T07:04:20.911930200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T07:15:54.730180700Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T07:50:44.458636Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T07:51:40.174396900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:02:32.976437800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:08:36.090360200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:23:42.089960100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:44:16.549926200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-13T08:44:47.448154200Z
